Date,pressure_station,pressure_sea,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,health_index,Female,Male,Mos Count
2018-06-26,93.17726190476189,100.9007738095238,22.452380952380956,13.303571428571427,31.066666666666666,49.94047619047619,9.752380952380955,21.42321428571429,0.0,27.01933760683761,3.104166666666667,1844.0,1671.0,3515
2018-07-03,93.16446428571429,100.97559523809527,25.357142857142858,13.339285714285714,33.952947845804985,55.238095238095234,5.9505952380952385,15.841071428571428,0.0,0.0,2.0404761904761903,951.0,903.0,1854
2018-07-10,93.86053571428572,101.68333333333335,22.99404761904762,11.392857142857144,33.80555555555556,56.66071428571428,9.42619047619048,19.188690476190477,0.0,26.73409090909091,2.248214285714286,4490.0,959.0,5449
2018-07-17,93.78315476190478,101.58494047619048,23.66071428571429,11.583333333333334,32.83730158730158,52.083333333333336,8.38452380952381,20.00952380952381,0.0,26.865,2.379676870748299,1541.0,533.0,2074
2018-07-24,93.94958333333332,101.80946428571428,24.78933747412008,12.095238095238097,32.479166666666664,67.06547619047619,10.338095238095237,16.994642857142857,0.0,26.545454545454547,1.939182194616977,1480.0,427.0,1907
2018-07-31,94.23410714285716,102.07142857142858,18.03493788819876,7.839285714285714,31.083333333333336,54.55952380952381,9.773214285714285,20.256547619047616,0.0,27.125897435897436,2.791071428571428,1312.0,883.0,2195
2018-08-07,93.31744047619047,101.08392857142859,26.125,12.089285714285717,32.483333333333334,62.69642857142857,11.358333333333334,19.586904761904766,0.0,26.206593406593402,2.588845755693582,1004.0,1205.0,2209
2018-08-14,93.64047619047619,101.45375000000001,18.11309523809524,10.976190476190476,29.928571428571427,60.97619047619048,9.51190476190476,18.53988095238095,0.0,28.731861888111887,4.14927536231884,1036.0,1143.0,2179
2018-08-21,94.04386904761904,101.90119047619045,23.643115942028988,7.8392857142857135,32.57142857142857,55.648809523809526,7.655357142857143,17.704761904761906,0.0,26.191666666666666,5.666666666666666,472.0,662.0,1134
2018-08-28,93.27208333333336,101.13035714285715,25.144409937888195,10.375,29.753333333333337,70.20238095238095,7.289880952380952,13.151785714285712,0.0,25.25,3.308333333333333,232.0,406.0,638
2018-09-04,93.33303571428573,101.2182738095238,25.796325051759833,11.714285714285714,32.004444444444445,67.35119047619047,5.308928571428571,11.847619047619046,0.0,0.0,1.9776515151515153,113.0,232.0,345
2018-09-11,93.67494047619047,101.59166666666667,18.067028985507246,9.910714285714286,29.0,68.37499999999999,5.796428571428571,12.175,0.0,25.666666666666668,1.8778679653679655,153.0,365.0,518
2018-09-18,94.07678571428573,102.18630952380951,18.956262939958595,10.613095238095239,29.6875,87.52380952380953,0.325,2.3523809523809525,-5.239583333333334,0.0,1.2923136645962734,13.0,20.0,33
2018-09-25,93.97065476190475,102.03910714285715,17.404761904761905,11.13095238095238,30.19642857142857,77.86309523809523,0.45119047619047625,4.477380952380953,-3.7222222222222228,0.0,1.851190476190476,20.0,8.0,28
